State,Year,Jan.,Feb.,Mar.,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,Avg UI
Mississippi,2009,8.7,9.1,9.4,9.1,9.6,9.0,9.7,9.5,9.2,9.8,9.6,10.6,9.4
Missouri,2009,8.0,8.3,8.7,8.1,9.0,9.3,9.3,9.5,9.5,9.3,9.5,9.6,9.0
Montana,2009,5.6,6.0,6.1,6.0,6.3,6.4,6.7,6.6,6.7,6.4,6.4,6.7,6.3
Nebraska,2009,4.3,4.2,4.6,4.4,4.4,5.0,4.9,5.0,4.9,4.9,4.5,4.7,4.7
Nevada,2009,9.4,10.1,10.4,10.6,11.3,12.0,12.5,13.2,13.3,13.0,12.3,13.0,11.8
New Hampshire,2009,5.1,5.3,6.2,6.3,6.5,6.8,6.8,6.9,7.2,6.8,6.7,7.0,6.5
New Jersey,2009,7.3,8.2,8.3,8.4,8.8,9.2,9.3,9.7,9.8,9.7,9.7,10.1,9.0
New Mexico,2009,5.1,5.4,5.9,5.8,6.5,6.8,7.0,7.5,7.7,7.9,7.8,8.3,6.8
New York,2009,7.0,7.8,7.8,7.7,8.2,8.7,8.6,9.0,8.9,9.0,8.6,9.0,8.4
North Carolina,2009,9.7,10.7,10.8,10.8,11.1,11.0,11.0,10.8,10.8,11.0,10.8,11.2,10.8
North Dakota,2009,4.2,4.3,4.2,4.0,4.4,4.2,4.2,4.3,4.2,4.2,4.1,4.4,4.2
Ohio,2009,8.8,9.4,9.7,10.2,10.8,11.1,11.2,10.8,10.1,10.5,10.6,10.9,10.3
Oklahoma,2009,5.0,5.5,5.9,6.2,6.3,6.3,6.5,6.8,6.7,7.1,7.0,6.6,6.3
Oregon,2009,9.9,10.8,12.1,12.0,12.4,12.2,11.9,12.2,11.5,11.3,11.1,11.0,11.5
Pennsylvania,2009,7.0,7.5,7.8,7.8,8.2,8.3,8.5,8.6,8.8,8.8,8.5,8.9,8.2
Puerto Rico,2009,13.0,14.3,15.0,15.4,14.4,14.5,15.5,15.1,16.2,15.6,15.9,15.0,15.0
Rhode Island,2009,10.3,10.5,10.5,11.1,12.1,12.4,12.7,12.8,13.0,12.9,12.7,12.9,12.0
South Carolina,2009,10.4,11.0,11.4,11.5,12.1,12.1,11.8,11.5,11.6,12.1,12.3,12.6,11.7
South Dakota,2009,4.4,4.6,4.9,4.8,5.0,5.1,4.9,4.9,4.8,5.0,5.0,4.7,4.8
Tennessee,2009,8.6,9.1,9.6,9.9,10.7,10.8,10.7,10.8,10.5,10.5,10.3,10.9,10.2
Texas,2009,6.4,6.5,6.7,6.7,7.1,7.5,7.9,8.0,8.2,8.3,8.0,8.3,7.5
Utah,2009,4.6,5.1,5.2,5.2,5.4,5.7,6.0,6.0,6.2,6.5,6.3,6.7,5.7
Vermont,2009,6.8,7.0,7.2,7.1,7.3,7.1,6.8,6.8,6.7,6.5,6.4,6.9,6.9
Virginia,2009,6.0,6.6,6.8,6.8,7.1,7.2,6.9,6.5,6.7,6.6,6.6,6.9,6.7
Washington,2009,7.8,8.4,9.2,9.1,9.4,9.3,9.1,9.2,9.3,9.3,9.2,9.5,9.1
West Virginia,2009,5.3,6.0,6.9,7.5,8.6,9.2,9.0,9.0,8.9,8.5,8.4,9.1,8.0
Wisconsin,2009,6.9,7.7,8.5,8.6,8.9,9.0,9.0,8.8,8.3,8.4,8.2,8.7,8.4
Wyoming,2009,3.7,3.9,4.5,4.5,5.0,5.9,6.5,6.6,6.8,7.4,7.2,7.5,5.8
